Headlines,Article,Companies,Sectors,Interest
Musashi India begins mass production of e-Axles for EV two-wheelers,"Musashi Auto Parts India, a wholly-owned subsidiary of Japanese firm Musashi Seimitsu Industries, on Monday said it has started the mass production of e-Axles for electric two-wheelers in the domestic market. The company said it plans to invest a total of Rs 160 crore in its EV business in phase I. This significant investment will be used to establish new assembly lines for EV transmission components and upgrade existing facilities. The company entered the EV segment in India in September last year through a joint venture (JV) with Delta Electronics, Inc. and Toyota Tsusho Corporation to establish Musashi Delta e-Axle India Private Limited. The company further said it has established a capacity to produce 10,000 e-Axles per month in phase 1, with plans to ramp up production with additional lines from the third year onwards. ""With the rapid growth of EV two-wheelers in India, the need to build a local and robust ecosystem of EV components is imperative,"" said Naoya Nishimura (CEO India & Africa Region). Musashi said it plans to achieve a localisation level of two-thirds of the total cost by the end of this financial year, with a motor assembly line and a drive unit assembly line. It is also working with BNC Motors to develop products equipped with EV drive units. These units will be used in BNC's upcoming EV two-wheeler that will be equivalent to a 125cc ICE scooter.
       ",Musashi India,Automotive Manufacturing,1
Vedanta mulls first dollar bond sale of $500 million,"The Indian mining company controlled by billionaire Anil Agarwal is considering tapping bond markets for at least $500 million in a debut overseas issuance, according to two people familiar with the proposal. Vedanta Ltd. is discussing the plan with lenders and seeking legal opinions about the potential sale, according to the people, who asked not to be identified discussing non-public issues. The bond sale could climb to $1 billion depending on the response from investors, according to one of the people. The company is also exploring other avenues of fundraising, including equity sales and local currency loans from domestic banks, the people said. Officials at Vedanta didn’t immediately respond to a request for comment. The move comes at a time when four high-yield dollar bonds sold by Vedanta’s parent company, Vedanta Resources Ltd., are the top performers from India so far this year, according to data compiled by Bloomberg. The holding company earlier this year successfully restructured its offshore bonds. Vedanta Ltd. has historically sold local currency bonds and borrowed in rupees from local lenders. Last week, the company’s board approved the sale of 10 billion rupees ($120 million) in local, non-convertible debentures. Vedanta has interests in semiconductors and commodities including aluminum, oil and gas, iron and copper. While largely concentrated in India, it has operations in South Africa, Namibia and Liberia as well. The 2024-25 fiscal year is lining up to be a critical one for Vedanta, Executive Director Arun Misra said during an analysts’ call on April 25, when he discussed plans for $1.9 billion in capex spending. The dollar bond sale would provide revenue for that expansion. In an overhaul announced last year, Agarwal is working to divide the company into six different business units: Vedanta Ltd. would control the semiconductor, zinc and stainless steel business. The company said the split would be completed in the fiscal year ending in March 2025.
       ",Vedanta,Mining and Metals,1
Sony Pictures Networks India appoints Gaurav Banerjee as new MD & CEO,"Sony Pictures Networks India on Monday announced the appointment of former Disney executive Gaurav Banerjee as its Managing Director and CEO, effective on or before August 26, pending regulatory approvals. Banerjee will succeed NP Singh, who will move into the role of Non-Executive Chairman after a 25-year tenure, Sony Pictures Networks India (SPNI) said in a statement. Singh will move into the new role only after Banerjee takes charge, to support the transition through the end of the fiscal year. ""NP Singh's leadership has been instrumental in shaping SPNI into the powerhouse it is today. I am confident that Gaurav Banerjee, with his proven track record and visionary approach, will continue to drive SPNI's success,"" said Ravi Ahuja, Chairman of Global Television Studios and President & COO of Sony Pictures Entertainment. Banerjee previously held the positions of Head of Content for Hindi Entertainment & Disney+ Hotstar and Business Head for Star Bharat, Hindi & English Movies, Kids & Infotainment, and Regional (East), the statement said. He started career in media as an assistant producer and anchor at Aaj Tak and later moved to Star News, where he started producing and anchoring prime time news shows. Banerjee has a master's degree in filmmaking and TV production from Jamia Millia Islamia University and an undergraduate in history from St. Stephens, Delhi, the company said. Banerjee's appointment follows Singh's decision to move on, which was announced last month. Singh had said that after nearly 44 years in his career, he is ""ready to focus on social change and shift from operational roles to advisory ones"". The Japanese parent of SPNI, had pushed for Singh to lead the merged entity proposed to be formed after amalgamation with India's Zee Entertainment Enterprises Ltd (ZEEL) before calling off the USD 10 billion deal in January this year. The deal announced more than two years back, collapsed following a stalemate over who will lead the merged entity and also due failure to meet closing conditions by ZEEL despite a month's extension of deadline.
       ",Sony Pictures Networks India,Media and Entertainment,0
Biocon Biologics gets EMA nod to produce biosimilar Bevacizumab at Bengaluru plant,"Biocon on Monday said its unit Biocon Biologics has received approval from the European Medicines Agency (EMA) to manufacture biosimilar Bevacizumab at its new facility at Bengaluru. This approval will provide significant additional capacity to address patients' needs across markets in Europe, the company said in a statement. Bevacizumab is used to treat health conditions like colorectal cancer, lung cancer, and ovarian cancer. The Bengaluru facility has previously been approved to manufacture biosimilar Trastuzumab in September 2022. Biocon said that EMA has also renewed its Good Manufacturing Practice (GMP) certificate of compliance for its biosimilar manufacturing facility in Bengaluru and its insulin facility in Malaysia following routine GMP inspections. These certificates were issued by the Health Products Regulatory Authority (HPRA), Ireland, on behalf of EMA, it said. ""These GMP certifications across our manufacturing sites in India and Malaysia reflect Biocon Biologics' continued compliance with the highest standards of quality and our unwavering commitment to addressing patient needs globally,"" a company spokesperson said. Last week Biocon had informed the bourses that the US health regulator has issued four observations after inspecting its Andhra Pradesh-based manufacturing plant. The US Food and Drug Administration (USFDA) concluded a GMP inspection of the company's API facility (Site 5), located at Visakhapatnam, Andhra Pradesh, on June 21, 2024. Shares of Biocon were trading 0.54 percent down at Rs 343.75 apiece on the BSE.
       ",Biocon Biologics,Healthcare/Pharmaceuticals,1
"Kotak Mahindra Bank to add up to 200 branches in FY25, official says","Kotak Mahindra Bank will increase its pace of opening new branches and add about 175 to 200 branches in the financial year 2024-25, a senior official at the bank said, months after the central bank barred the private lender from sourcing new customers digitally. In April, the Reserve Bank of India (RBI) stopped Kotak from adding new customers via its online and mobile banking channels, and from issuing new credit cards, due to information technology-related deficiencies. ""We have been adding roughly 150 odd branches for several years now. This year too, the momentum is going to continue,"" Virat Diwanji, group president and head - consumer bank, told Reuters in an email interview on Monday. India's fourth-largest private lender will target the pockets where there is easy availability of deposits, the official said, adding that customer acquisition through branches is seeing good traction. Before the RBI's order, Kotak was heavily reliant on digital channels to source new clients. About 95% of its new personal loans by volume were disbursed digitally in the October-December quarter, while it issued 99% of new credit cards through digital channels. A similar breakup for the January-March quarter is not yet available. Kotak's branch addition plans may not immediately help source new customers, but the strategy may play out in the medium-to-longer term as it will increase its presence and reach, said Kranthi Baithini, director of equity strategy at WealthMills Securities. However, that will come with high overhead costs, he said. Meanwhile, the bank is working ""steadfastly"" to fulfill the RBI's requirements and return to business as usual, Diwanji said. The private lender has stepped up investments to fortify its IT systems, including steps to strengthen its digital payment security controls and meet regulatory data cybersecurity standards, he added. Kotak has hired over 530 employees in the last 12-15 months, a majority of them from tech backgrounds, he said. The bank's focus on personal loans and business loans will continue, Diwanji said.
       ",Kotak Mahindra Bank,Banking,1
"Hero MotoCorp to hike prices of select models by up to Rs 1,500 from July","Hero MotoCorp on Monday said it will hike prices of select motorcycle and scooter models by up to Rs 1,500 with effect from July 1, 2024 in order to partially offset the impact of higher input costs. The price revision will be up to Rs 1,500 and the exact quantum of increase will vary by specific model and market, the country's largest two-wheeler maker said in a statement. ""The revision has been necessitated to partially offset the impact of higher input costs,"" it added. Hero MotoCorp sells a range of bikes including high selling Splendor range, HF Deluxe and Glamour. Scooter range includes Xoom and Destini 125 XTEC. Shares of Hero MotoCorp were trading 0.46 percent up at Rs 5,477.20 apiece on the BSE.
       ",Hero MotoCorp,Consumer Discretionary (Automotive),1
Thangamayil Jewellery: Why this stock will continue to shine,"Highlights  Mixed Q4 results Strong demand traction Store expansion to accelerate Industry shift towards organised segment beneficial  Thangamayil Jewellery Limited (TMJL; CMP: Rs 1,617; market cap: Rs 4,437 crore; Rating: Overweight) posted mixed results in Q4FY24. Among the consumer discretionary categories, jewellery continues to report the highest growth as high-income consumers are relatively less affected by inflationary pressures. Also, gold has an investment value. The industry’s shift towards the organised segment is another factor helping the sales of branded jewellery players such as
                                    ",Thangamayil Jewellery,Consumer Discretionary,0
Thangamayil Jewellery: Why this stock will continue to shine,"Highlights  Mixed Q4 results Strong demand traction Store expansion to accelerate Industry shift towards organised segment beneficial  Thangamayil Jewellery Limited (TMJL; CMP: Rs 1,617; market cap: Rs 4,437 crore; Rating: Overweight) posted mixed results in Q4FY24. Among the consumer discretionary categories, jewellery continues to report the highest growth as high-income consumers are relatively less affected by inflationary pressures. Also, gold has an investment value. The industry’s shift towards the organised segment is another factor helping the sales of branded jewellery players such as
                                    ",Thangamayil Jewellery,Consumer Discretionary,0
Mas Financial – the steady long-term compounder now fortified with capital,"Highlights  Mas Financial has concluded a Rs 500-crore QIP, readying the company for the next phase Growth remains steady and we see little risk to the 20-25 percent guided range Margins should improve, thanks to the rating upgrade and focus on own distribution Asset quality stable, remains an area of priority Focus on growing housing finance We see upside to the valuation for long-term investors  Mas Financial (CMP: Rs 311, Market Cap: Rs 5,110 crore, Rating: Overweight) has successfully concluded a Rs 500-crore QIP
                                    ",Mas Financial,Financial Services,0
JPMorgan India bank CEO Prabdev Singh quits before end of term,"Prabdev Singh, chief executive officer of JPMorgan Chase & Co.’s bank in India, has stepped down before the end of his term. “Pranav Chawda, head of commercial banking for India, will expand his current responsibilities to become the head of India Corporate Banking and can confirm that PD Singh is ​leaving the firm,” a JPMorgan representative said by email in response to queries from Bloomberg News. Singh, popularly known as PD, had received regulatory approval in January 2023 for a three-year term as CEO of JPMorgan Chase Bank India. He had replaced Madhav Kalyan who — in October 2022 — was named head of payments for Asia Pacific. The Wall Street firm, which traces its presence in India back to 1922, started commercial banking operations in the country about 17 years ago. JPMorgan has four commercial bank branches in the country, data on its website shows. It has four branches including Delhi and Mumbai. Singh, a trained engineer, had worked for a decade at HSBC Holdings Plc before joining JPMorgan in 2010, according to his Linkedin profile.
       ",JPMorgan,Financial Services,0
MedPlus’ own branded product business needs close monitoring by investors,"Private labels are a common sight in modern retail. They are priced lower than the branded products and offer cost savings for customers. For retailers, private labels offer better profit margins, thanks to better control over procurement. Companies such as Avenue Supermarts and Trent have achieved good commercial success by offering private labels in their respective businesses (grocery, apparel retail). But penetration of private labels in specialty retail such as medicines is still low. Pharma retail in
                                    ",MedPlus,Healthcare,0
"Prestige Estates' board approves raising up to Rs 5,000 crore via QIP","Prestige Estates board on 21 June approved the proposal to raise Rs 5,000 crore through QIP (qualified institutional placement), the company said in a regulatory filing. Prestige Estates is one of the leading real estate developers in the country. It has a significant presence in South India. In the exchange filing it said,""Raising of funds by way of issuance of equity shares or other eligible securities for an aggregate amount not exceeding Rs. 5,000 Crores (Rupees Five Thousand Crores only) by way of qualified institutional placement (“QIP”) or other permissible mode in accordance with the applicable laws, subject to the receipt of the necessary approvals as may be required. Additionally, the Prestige Estates board also approved the proposal to  monetise assets of the hospitality segment through Prestige Hospitality Ventures Limited, wholly owned subsidiary of the Company by way of issue of shares (through primary or secondary or both) subject to approval of shareholders, market conditions and receipt of applicable approvals. In this regard, the board has formed sub-committee to oversee and structure the process. The committee is tasked with the responsibility of ensuring compliance with all regulatory requirements, coordinating with advisors and underwriters, and making all necessary arrangements. Prestige Estates tapped JM Financial, JP Morgan and CLSA as bankers for the listing of its hospitality business, CNBC TV18 had reported earlier this month. The company posted 70% decline in consolidated net profit at Rs 140 crore for the quarter ended March 2024 on lower income. Its net profit stood at Rs 468.4 crore in the year-ago period. During 2023-24 fiscal year, net profit rose to Rs 1,374.1 crore from Rs 941.8 crore in the preceding year. Total income increased to Rs 9,425.3 crore from Rs 8,772 crore in 2022-23. On Fiday the shares of Presitge Estates closed at Rs1,995.00 down by 0.93%. The company's share price has jumped 20 percent in the last 1 month and 69 percent in the last 6 months, far outpacing Nifty, which has gained 5 percent and 10 percent, respectively. *With Agency Inputs ",Prestige Estates,Real Estate,1
Tata Steel workers in UK to begin indefinite strike next month,"Around 1,500 Tata Steel workers in Britain will begin an indefinite strike from July 8 over the company's plans to close two blast furnaces and cut up to 2,800 jobs, the trade union Unite said on June 21. The strike action, described by Unite as the first strikes by British steel workers in 40 years, will take place at Tata's Port Talbot and Llanwern sites in Wales. The closures were announced in January as part of the Indian company's plan to turn around its loss-making UK business by switching to lower carbon electric arc furnaces, a proposal backed by 500 million pounds ($632 million) of government money. ""Tata’s workers are not just fighting for their jobs - they are fighting for the future of their communities and the future of steel in Wales,"" Unite General Secretary Sharon Graham said. Tata Steel employs more than 8,000 people in the UK. The company said in January about about 2,500 jobs of the total being cut were likely to go over the next 18 months. Reacting to the strike decision by the union, a Tata Steel spokesperson said: ""We are extremely disappointed by Unite’s unilateral decision to call strike action. Our existing steelmaking assets are near the end of their life, are operationally unstable and causing unsustainable losses of £1 million a day. This is why preparations to close the blast furnaces and associated plants in Port Talbot are unchanged."" “However, if the safety and stability of our operations are put at risk by this action, we will be forced to accelerate those closure plans. After extensive negotiations with our unions we substantially improved our support offering for affected employees – the most generous package in our history. Rather than taking strike action, we would have expected Unite to put our improved offer to its members, as previously accepted by all unions, including Unite,"" the spokesperson added. (With Reuters inputs) ",Tata Steel,Industrial (Steel Manufacturing),0
Business in the Week Ahead: June 24-28,"India's economy is exiting the June 2024 quarter (Q1 FY25) on an upbeat note. The HSBC Flash Composite PMI Output index, an index that measures month-on-month change in the combined output of India's manufacturing and service sectors, increased from 60.5 in May to 60.9 in June. The rise in the composite flash PMI indicates an improvement in private sector activity. The growth is stronger at goods producers than at service providers. “New orders gained growth momentum for
                                    ",,,0
"Power Grip Corp board approves investment proposals of Rs 810 cr, JV with RVPNL","Power Grid Corporation of India’s (PGCIL's) board on June 21 approved several investment proposals worth Rs 810 crore, the company said in a regulatory filing. The company will invest Rs 117.51 crore in upgrading an existing facility in Madhya Pradesh. The project will be commissioned in 18 months, according to the statement. In another facility in Kurnool, the company will augment transformation capacity at a cost of Rs 163.61 crore, scheduled to be commissionedwithin 21 months from the date of intimation by CTUIL letter. PGCIL will also invest Rs 104.22 crore for upgradation works at a plant in Telangana's Veltoor, while it will carry out an upgradation project worth Rs 424.21 crore for the implementation of unified load dispatch and communication phase-3 in the eastern region, it said. Meanwhile, the government-run company's board also gave an in-principle approval for the formation of a joint venture with Rajasthan Rajya Vidyut Prasaran Nigam Limited (RVPNL) for the development of intra-state transmission system in Rajasthan, the stock filing said. The development is subject to approvals from the power ministry, department of investment and public asset management (DIPAM), Niti Aayog and other statutory authorities, the state-run company added. The shares of the company were trading at Rs 326.2, marginally higher by 0.51 percent on NSEAT 13:15 pm on June 21.
       ",Power Grip Corp,Utilities,1
Steelmaker Arcelor-Nippon says India's plan for raw material curbs ignores Red Sea crisis,"ArcelorMittal's India joint venture has privately warned trade officials in New Delhi that a plan to curb imports of a key raw material for steelmaking overlooks the implications of the Red Sea crisis, a letter showed. The curbs planned by the world's second-biggest producer of crude steel could hit output, as they cap imports of a steelmaking fuel, low ash metallurgical coke, also known as met coke, at 2.85 million metric tons for a year. The April proposal, which came after growing shipments caused ""serious injury"" to domestic producers, also recommended setting quotas on met coke for exporting nations. ""India should not close its eyes to the geopolitical situation and implement a measure that may adversely affect its steel industry,"" the company told the directorate general of trade remedies (DGTR) in the June 3 letter, seen by Reuters. Quotas envisioned for European countries under the plan ""will very seriously affect"" imports from the region, it added. The company, India's commerce ministry and the trade remedies body did not respond to requests for comment. No date has yet been set for the proposal, now being reviewed by the commerce ministry, to take effect. India's plan to allot about 40% import quota to European nations will affect ArcelorMittal Nippon Steel India (AM/NS India) as the Red Sea crisis has already forced rerouting of vessels, and boosted ocean shipping rates, the company said. The company does not use domestic met coke. India's imports oMost Usedf the fuel have more than doubled over the past four years, and its top suppliers include Poland and Switzerland, as well as China and Indonesia. Attacks on ships in the Red Sea by Yemen's Iran-aligned Houthi militants are disrupting trade, with freight firms switching to routes around the Cape of Good Hope to avoid the Suez Canal. India must reconsider the proposal as it could hit the steel industry, the company, which has not commented on the matter publicly, urged in its letter. This month, Reuters reported that India's steel ministry also did not favour limits on imports of met coke, citing risks to domestic output. In its letter, AM/NS India said authorities proposing the curbs did not factor in the prospect of increased demand for met coke as steelmakers plan to add capacity. ""The quantiative restraint on imports will reduce the ability for the steel industry to raise its capacity and growth levels,"" it added. One of India's leading steelmakers, with annual capacity of about 9 million metric tons, AM/NS India competes with JSW Steel Ltd and Tata Steel Ltd.
       ",ArcelorMittal Nippon Steel India,Steel,1
More than 50% Indian households downing soft drinks; to increase with intensifying heat: Report,"The average Indian household's consumption of bottled soft drinks has increased in the last two years, breaching annual penetration of 50 per cent in FY24, a report said. According to the latest Kantar FMCG pulse report, this trend is expected to rise further with intensifying summer. It said the average household has expanded its consumption of bottled soft drinks by 250 ml in the last two years. Moreover, fabric softeners, still considered to be a premium laundry item, have now reached one in every four households in the country, the report said. Besides, washing liquids, another premium laundry product introduced by leading FMCG majors, breached the 100,000-tonne mark in FY24. All these trends are ""record breakers"", the report noted. The bottled soft drink category had a ""massive 41 per cent household growth in MAT (moving annual total) March 2023"" and continued to add more households and expanded 19 per cent in MAT March 2024. ""With the intensifying summer, the category is likely to continue its growth this year too,"" it said. On the consumption, the report said now consumers shop FMCG products 156 times a year, or every 56 hours from online or offline channels. However, it also added that the average basket value has gone down as shoppers are no longer buying more packs as they were purchasing earlier. ""The frequency and the pack trends indicate that shoppers are no longer reducing their pack sizes, but holding on to the ones they are buying. In other words, we are very likely at the juncture where we see shoppers buying slightly bigger packs from now on,"" it said. Now discretionary premium-end categories like washing liquids and indulgent products such as bottled soft drinks have performed exceedingly well. Still, groceries are the biggest household expense, accounting for over 24 per cent of all quarterly expenses in a household, it added. The report also highlighted that though inflation might have slowed to acceptable levels, its effects are not lost on the consumer. ""The worst of inflation is behind us, however, there are pockets of the market that are still under some stress...the shopper is looking at the future with great optimism, even those who are under stress, and this optimism has been the flag bearer of the Indian consumption story for long now,"" it said.
       ",,,0
Weekly Tactical Pick: Adding this stock will improve your portfolio health,"Highlights  Focus on healthcare remains key for the government Private healthcare players should gain from secular trends Rainbow’s capacity expansion plans remain on track Reasonable valuation at 23x FY26e EV/EBITDA  Healthcare has been a focus area for the government as it aims to achieve the target of spending 2.5 percent of the GDP (gross domestic product) in healthcare by 2025 against ~2.1 percent now. In the interim budget, the government focused on “healthcare for all”, which is likely to see substantial measures,
                                    ",,,0
Sun Pharma inks pact with Takeda to introduce gastrointestinal drug in India,"Sun Pharmaceutical Industries on Friday said it has inked a licensing pact with Takeda Pharmaceutical Company to commercialise a novel gastrointestinal drug in India. The company has entered into a non-exclusive patent licensing agreement with Takeda to commercialise Vonoprazan tablets in strengths of 10 and 20 mg in India, the Mumbai-based drug major said in a statement. Vonoprazan is a novel, orally active potassium competitive acid blocker (PCAB), used to treat reflux esophagitis and other acid peptic disorders. ""Sun Pharma is a leader in gastroenterology and we are excited to introduce Vonoprazan in India under non-exclusive patent license from Takeda,"" Sun Pharma CEO - India Business Kirti Ganorkar said. The partnership demonstrates the company's commitment to gastrointestinal health by providing patients and healthcare practitioners with a novel treatment option to manage reflux esophagitis and other acid peptic disorders, he added. Gastroesophageal Reflux Disease (GERD) is common in India. In November 2023, Vonoprazan was approved by the US FDA for healing and maintenance of all grades of Erosive esophagitis and providing relief from heartburn associated with Erosive esophagitis, and in combination with amoxicillin and clarithromycin or amoxicillin alone for the treatment of Helicobacter pylori (H. pylori) infection in adults. Vonoprazan was discovered and developed by Takeda. The drug is approved in India for treatment of adults with reflux esophagitis and other acid peptic disorders. Shares of Sun Pharma were trading 0.69 percent up at Rs 1,480.55 apiece on the BSE.
       ",Sun Pharma,Healthcare/Pharmaceuticals,1
Accenture’s Q3 earnings report: any cheer for Indian IT?,"Highlights  Accenture’s report largely in line Order booking strong, green shoots in consulting Meaningful progress reported in Generative AI Demand environment no different from the past We expect commentary from Indian IT players to be similar Huge order backlog should drive execution in FY25 Investors should tactically go overweight on IT  Accenture’s reported numbers lacked the sparkle. However, bookings showed strength and the commentary on progress in Gen AI does point to the company’s pole position in capturing the opportunity in this new technology once
                                    ",Accenture,Information Technology Services,0
ITC Hotel group signs two more Storii resorts in Rajasthan,"ITC Hotel Group on Thursday announced the signing of two resorts in Rajasthan under Brand Storii, in Jaipur and Jawai, expected to open in early 2025. Including the recently announced signing of Storii Jaisalmer, Brand Storii will now have a total of three properties in Rajasthan. ""With these signings, the chain's portfolio of managed properties continues its high growth trajectory through the asset right strategy,"" ITC stated. Asset-right model refers to owning properties and managing for others. It also envisages the strategy of incremental room additions. ""The location of the two resorts is perfect for travellers looking to experience the destination while also exploring culture reminiscent of a glorious heritage,"" Anil Chadha, Chief Executive Officer of ITC Hotels, said. Located less than a 2-hour drive from Udaipur, Storii Jawai will feature 15 rooms and suites with private open areas, and other amenities.
       ",ITC Hotels,Hospitality,1
Aster DM Healthcare block deal: PE firm Olympus planning $100-mn stake sale with upsize option,"Private equity firm Olympus is in stake sale mode again in Aster DM Healthcare, and is looking to offload 5 percent via a block deal of around $100 million, sources in the know told Moneycontrol on the condition of anonymity. ""The block deal has been launched with an upsize option of an additional 5 percent stake. Based on demand, this could potentially be a $200-million clean up trade with Olympus selling its entire balance 10.1 percent stake,"" said one of the persons above. A second person told Moneycontrol that the floor price for the proposed trade was Rs 331/share, a 7.1 percent discount to the last closing price. He added Kotak Securities is acting as the advisor on the deal. Olympus and Kotak Securities couldn't be reached for an immediate comment. According to exchange filings, Olympus Capital Asia Investments Ltd holds 10.10 percent stake in Aster DM Healthcare. Back in March, Olympus had sold around 9.8 percent stake in Aster DM in a block deal of around $235 million. On September 20, 2022, Moneycontrol was the first to report that Aster DM Healthcare had launched a big-bang internal rejig exercise to unlock value and had tapped Gulf funds and sovereign funds to sell stake in its carved-out Middle East business. Then in November, Aster DM Healthcare approved the sale of its Middle East or GCC (Gulf Co-Operation Council) business to Alpha GCC Holdings Ltd for an equity value of a billion dollars. The promoter family currently holds 41.88 per cent stake in Aster DM Healthcare. Post the announcement of the GCC deal, when asked if the firm would be open to sell a majority stake in the India business as well, Dr Azad Moopen, Chairman, Aster DM Healthcare said, "" If it's a very good partner who comes in and we have the strategic benefit of having a team and we have the knowledge, then we are okay to go with not a majority stake, but we can go with a joint control and things like that. We can definitely discuss about that.""
       ",Aster DM Healthcare,Healthcare,0
Bharat Electronics appoints Manoj Jain as new MD and chairman,"Bharat Electronics Limited on June 20 appointed Manoj Jain as the new managing director and chairman of the company effective from today, the company said in a regulatory filing. Before this, Jain was the director of the research and development department since September 2022 and was also assigned the additional charge of Bangalore complex director from August 1, 2023, the statement said. He was general manager of the Electronic Warfare & Avionics SBU at BEL's Bangalore Complex prior to his elevation as Director (R&D), the company said. Between November 2022 to May 2023, Jain also held the position of human resources director. Jain had joined the defence public sector company in August 1991 as probationary engineer after completing his engineering degree from REC Jaipur (MNIT). His career spans over three decades and has made significant contributions to the field of R&D, the company said. On June 20, the stock price of the company was trading at Rs 311.8, up 0.81 percent at 14:26 pm on NSE.
       ",Bharat Electronics,Defense Electronics,0
Uber Green electric cabs launched in Kolkata,"Uber on Thursday announced the launch of its flagship electric vehicle service, Uber Green, in Kolkata, marking a step towards eco-friendly urban transportation. Uber becomes the second ride-hailing service provider to offer electric vehicles in the city, following Snap E, another brand operating with an all-EV fleet. ""Enhancing the air quality in Kolkata is a shared duty we all must embrace. I commend Uber for introducing 'Uber Green' in Kolkata, a significant step towards reducing carbon emissions in our city,"" West Bengal Transport Minister Snehasis Chakraborty said. ""This service allows residents to book zero-emission rides with ease through the Uber app, promoting sustainable travel across the city, including routes to and from Kolkata international airport,"" Uber said in a statement. The company did not disclose details on the number of vehicles under Uber Green or its expansion plans for the city. The company has committed to becoming a zero-emissions mobility platform by 2030 in Europe and North America, and globally by 2040. EV drivers on Uber are going electric five times faster than the general public, the company stated.
       ",Uber,Transportation,0
JSW MG Motor India partners with Ecofy for EV financing,"JSW MG Motor India on Thursday said it has partnered with Eversource Capital-backed NBFC Ecofy to provide financing and leasing solutions for its electric vehicles. The two companies have signed a Memorandum of Understanding (MoU) under which Ecofy will provide financing and leasing solutions for up to 10,000 JSW MG EVs over the next three years, it said in a statement. This will include loan options and leasing arrangements across retail customers and B2B operators for the existing and forthcoming electric vehicles of JSW MG Motor India, the company added. ""This partnership reflects JSW MG India's commitment to offer innovative EV ownership solutions to augment the adoption of electric vehicles (EVs) in India,"" JSW MG Motor India, Chief Growth Officer, Gaurav Gupta said. By offering innovative financing solutions in collaboration with industry specialists, the company is making EV ownership more accessible and affordable to a broader audience, he added. ""By combining our expertise in finance and JSW MG's cutting-edge electric vehicle technology, we aim to make EVs accessible to a wider audience, empowering individuals and businesses to embrace a greener future without compromising on convenience or affordability,"" Ecofy Co-founder, MD & CEO Rajashree Nambiar said.
       ",JSW MG Motor India,Automotive,1
Waaree Energies bags order to supply 280 MW solar modules to Mahindra Susten,"Waaree Energies on Thursday said that it has secured an order to supply 280 MW solar modules to Mahindra Susten. The modules will be delivered from December 2024 onwards and are designed to support Mahindra Susten's ambitious renewable energy projects, a company statement said. The Waaree Energies announced an agreement with Mahindra Susten, a renewable independent power producer (IPP), to supply 280 MW (DC) of advanced solar modules in Bikaner, Rajasthan, according to the statement. The contract involves the provision of Waaree Energies Limited's ELITE Series, N-Type TopCon 580Wp modules, renowned for their efficiency and performance. Sunil Rathi, Director Sales, Waaree Energies, said in the statement, ""Partnering with Mahindra Susten is a source of great pride for our company."" Deepak Thakur, Managing Director & CEO of Mahindra Susten said in the statement, ""We are pleased to announce our second order this financial year with Waaree Energies.""
       ",Waaree Energies,Energy (Renewable Energy/Solar),1
Lemon Tree Hotels: Why this hotel stock is poised for re-rating,"Highlights:  Healthy Q4FY24 results Demand momentum strong Healthy asset-light expansion plans Margins to improve; expect reduction in debt   Lemon Tree Hotels (LMNT; CMP: Rs 145.4; Market cap: Rs 11,518 crore; Rating: Overweight) has posted healthy Q4FY24 results. LMNT is on track for an aggressive network expansion via the asset-light management contract route. Aurika hotel, Mumbai, which was inaugurated in Q3FY24 and located near the airport, is expected to significantly boost the company’s performance. Aurika contributes about 18 percent to revenues. Also, LMNT is spending significantly
                                    ",Lemon Tree Hotels,Consumer Discretionary (Hospitality/Hotels),0
"Gland Pharma has been a sound investment for Fosun, will retail investors benefit too?","Fosun Pharma is set to make good returns from its investment in Gland Pharma despite a correction in the latter’s stock price from 2021 levels. The company bought Gland Pharma for around Rs 8,500 crore in 2016, sold shares to the public (IPO) at a valuation of Rs 24,000 crore in 2020 and is now paring its stake at a market capitalisation of Rs 29,800 crore. It is another matter that Fosun has reportedly not received the kind of valuation",Gland Pharma,Healthcare,0
Religare asked to seek regulatory nod for top investor raising stake,"India's markets regulator has asked Religare Enterprises to apply for approvals to let the billionaire Burman family buy more shares in the financial services company, dealing a blow to the company's attempt to block the move. The Burmans, who founded and control consumer goods conglomerate Dabur India, raised its stake in Religare to nearly 25% in September last year, triggering the so-called open offer requirement that allows them to buy more shares from public shareholders. However, Religare had sought to block the deal saying the open offer was ""riddled with irregularities and statutory violations and cast serious doubts on the fit and proper status of the acquirers."" The Burmans -- who want to buy around 26% more of Religare to bolster its presence in the rapidly growing financial services sector -- approached the Securities and Exchange Board of India (SEBI) due to the company's lack of cooperation. The SEBI, in an interim order dated June 19, asked Religare to furnish an undertaking that it will apply by July 12 to regulatory authorities, including the central bank, for approvals for the open offer. It also asked Religare to form a committee of independent directors, if not already done, but did not give a reason for the directive. Religare and the Burman family did not immediately respond to Reuters' emails seeking comment.
       ",Religare,Financial Services,1
India Shelter Finance: Should investors home in on this housing finance company?,"Highlights:  Operates in the niche segment of low-income housing finance Compounding of asset base with improving asset quality Higher spread than pears due to the unique business model Valuation at a discount to most peers  India Shelter Finance Corporation Limited (India Shelter; (CMP: Rs 730; M Cap: Rs 7,863 crore; Overweight) is a pure play in the informal, affordable housing finance (AHF) segment with a large presence in Tier 2/3 towns. It is backed by an experienced management team and strong promoters,
                                    ",India Shelter Finance,Financial Services,0
